root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940628223570,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940633826458,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940622185654,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940613762285,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940610386786,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940639953742,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940619704000,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940614256435,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940629474620,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940637938409,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940614284463,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940634433180,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940639086399,intrinsic,optic,optic_lobe_intrinsic,lobula_medulla_amacrine,,left,
720575940624548332,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940629821775,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
